,seq_num[ce],MinElevationMeters[ce],MaxElevationMeters[ce],Genus,SpecificEpithet,DecimalLatitude[ce],DecimalLongitude[ce],Scientific Name
0,ee97f914-5c57-11de-98cb-001f29e2923c,183.0,183.0,Allograpta,amphotera,-9.97861,-138.83583,allograpta amphotera
1,ee97f7c0-5c57-11de-98cb-001f29e2923c,377.0,377.0,Oopsis,nutator,-9.97694,-138.82889,oopsis nutator
2,ee97f432-5c57-11de-98cb-001f29e2923c,377.0,377.0,Allograpta,amphotera,-9.97694,-138.82889,allograpta amphotera
3,ee97ef5a-5c57-11de-98cb-001f29e2923c,183.0,183.0,Bactrocera,perfusca,-9.97861,-138.83583,bactrocera perfusca
4,ee97eeb0-5c57-11de-98cb-001f29e2923c,183.0,183.0,Homoneura,hawaiiensis,-9.97861,-138.83583,homoneura hawaiiensis
5,ee97e802-5c57-11de-98cb-001f29e2923c,279.0,279.0,Oopsis,nutator,-9.96833,-138.83056,oopsis nutator
6,ee97e74e-5c57-11de-98cb-001f29e2923c,183.0,183.0,Toxorhynchites,brevipalpis,-9.97861,-138.83583,toxorhynchites brevipalpis
7,ee97de84-5c57-11de-98cb-001f29e2923c,279.0,279.0,Chrysoperla,congrua,-9.96833,-138.83056,chrysoperla congrua
8,ee97dd1c-5c57-11de-98cb-001f29e2923c,279.0,279.0,Cardiocondyla,emeryi,-9.96833,-138.83056,cardiocondyla emeryi
9,ee97d9c0-5c57-11de-98cb-001f29e2923c,279.0,279.0,Balclutha,rosea,-9.96833,-138.83056,balclutha rosea
10,ee97d5ba-5c57-11de-98cb-001f29e2923c,175.0,175.0,Tapinoma,melanocephalum,-9.97417,-138.83556,tapinoma melanocephalum
11,ee97d510-5c57-11de-98cb-001f29e2923c,183.0,183.0,Hypoponera,opaciceps,-9.97861,-138.83583,hypoponera opaciceps
12,ee97c93a-5c57-11de-98cb-001f29e2923c,130.0,130.0,Balclutha,rosea,-9.97944,-138.83917,balclutha rosea
13,ee97c3e0-5c57-11de-98cb-001f29e2923c,118.0,118.0,Cardiocondyla,emeryi,-9.98639,-138.83778,cardiocondyla emeryi
14,ee97c336-5c57-11de-98cb-001f29e2923c,118.0,118.0,Plagiolepis,alluaudi,-9.98639,-138.83778,plagiolepis alluaudi
15,ee97c07a-5c57-11de-98cb-001f29e2923c,130.0,130.0,Balclutha,incisa,-9.97944,-138.83917,balclutha incisa
16,ee97be5e-5c57-11de-98cb-001f29e2923c,183.0,183.0,Balclutha,rosea,-9.97861,-138.83583,balclutha rosea
17,ee97fb1c-5c57-11de-98cb-001f29e2923c,183.0,183.0,Anoplolepis,gracilipes,-9.97861,-138.83583,anoplolepis gracilipes
18,e23609aa-b745-11e4-8441-00248188a0be,183.0,183.0,Paratrechina,longicornis,-9.97861,-138.83583,paratrechina longicornis
19,eea2ea54-5c57-11de-98cb-001f29e2923c,42.0,42.0,Gnathothlibus,erotus,-17.49154,-149.82864,gnathothlibus erotus
20,eea2eb08-5c57-11de-98cb-001f29e2923c,243.0,243.0,Gnathothlibus,erotus,-17.5415,-149.82848,gnathothlibus erotus
21,eea2ed2e-5c57-11de-98cb-001f29e2923c,243.0,243.0,Piletocera,signiferalis,-17.5415,-149.82848,piletocera signiferalis
22,eea2f152-5c57-11de-98cb-001f29e2923c,243.0,243.0,Piletocera,signiferalis,-17.5415,-149.82848,piletocera signiferalis
23,eea2f2b0-5c57-11de-98cb-001f29e2923c,243.0,243.0,Chrysodeixis,chalcites,-17.5415,-149.82848,chrysodeixis chalcites
24,eea30700-5c57-11de-98cb-001f29e2923c,880.0,880.0,Lampides,boeticus,-17.51064,-149.83835,lampides boeticus
25,d032f6f2-903a-11e2-a3e9-001f29e2923c,243.0,243.0,Pisistrata,trypheropa,-17.5415,-149.82848,pisistrata trypheropa
26,eea31178-5c57-11de-98cb-001f29e2923c,243.0,243.0,Macarostola,pontificalis,-17.5415,-149.82848,macarostola pontificalis
27,eea3122c-5c57-11de-98cb-001f29e2923c,243.0,243.0,Macarostola,pontificalis,-17.5415,-149.82848,macarostola pontificalis
28,eea31650-5c57-11de-98cb-001f29e2923c,243.0,243.0,Anatrachyntis,lunulifera,-17.5415,-149.82848,anatrachyntis lunulifera
29,eea32e42-5c57-11de-98cb-001f29e2923c,375.0,375.0,Anatrachyntis,lunulifera,-17.53395,-149.80061,anatrachyntis lunulifera
30,eea32ef6-5c57-11de-98cb-001f29e2923c,375.0,375.0,Anatrachyntis,lunulifera,-17.53395,-149.80061,anatrachyntis lunulifera
31,eea331da-5c57-11de-98cb-001f29e2923c,1.0,1.0,Assara,halmophila,-17.492,-149.82639,assara halmophila
32,eea34fa8-5c57-11de-98cb-001f29e2923c,822.0,822.0,Stemorrhages,thetydalis,-17.5074,-149.84012,stemorrhages thetydalis
33,eea35106-5c57-11de-98cb-001f29e2923c,822.0,822.0,Callopistria,alticola,-17.5074,-149.84012,callopistria alticola
34,eea351b0-5c57-11de-98cb-001f29e2923c,822.0,822.0,Callopistria,steevei,-17.5074,-149.84012,callopistria steevei
35,eea35264-5c57-11de-98cb-001f29e2923c,822.0,822.0,Chrysodeixis,chalcites,-17.5074,-149.84012,chrysodeixis chalcites
36,eea3532c-5c57-11de-98cb-001f29e2923c,822.0,822.0,Mocis,trifasciata,-17.5074,-149.84012,mocis trifasciata
37,eea3548a-5c57-11de-98cb-001f29e2923c,42.0,42.0,Chasmina,tibialis,-17.49154,-149.82864,chasmina tibialis
38,eea3553e-5c57-11de-98cb-001f29e2923c,42.0,42.0,Thalassodes,pilaria,-17.49154,-149.82864,thalassodes pilaria
39,eea35da4-5c57-11de-98cb-001f29e2923c,42.0,42.0,Cryptoblabes,plagioleuca,-17.49154,-149.82864,cryptoblabes plagioleuca
40,eea381f8-5c57-11de-98cb-001f29e2923c,245.0,245.0,Macroglossum,hirundo,-17.54139,-149.82686,macroglossum hirundo
41,eea3840a-5c57-11de-98cb-001f29e2923c,245.0,245.0,Assara,halmophila,-17.54139,-149.82686,assara halmophila
