,seq_num[ce],MinElevationMeters[ce],MaxElevationMeters[ce],ScientificName,Genus,SpecificEpithet
0,ee97f914-5c57-11de-98cb-001f29e2923c,183.0,183.0,Allograpta amphotera,Allograpta,amphotera
1,ee97f7c0-5c57-11de-98cb-001f29e2923c,377.0,377.0,Oopsis nutator,Oopsis,nutator
2,ee97f432-5c57-11de-98cb-001f29e2923c,377.0,377.0,Allograpta amphotera,Allograpta,amphotera
3,ee97ef5a-5c57-11de-98cb-001f29e2923c,183.0,183.0,Bactrocera perfusca,Bactrocera,perfusca
4,ee97eeb0-5c57-11de-98cb-001f29e2923c,183.0,183.0,Homoneura hawaiiensis,Homoneura,hawaiiensis
5,ee97e802-5c57-11de-98cb-001f29e2923c,279.0,279.0,Oopsis nutator,Oopsis,nutator
6,ee97e74e-5c57-11de-98cb-001f29e2923c,183.0,183.0,Toxorhynchites brevipalpis,Toxorhynchites,brevipalpis
7,ee97de84-5c57-11de-98cb-001f29e2923c,279.0,279.0,Chrysoperla congrua,Chrysoperla,congrua
8,ee97dd1c-5c57-11de-98cb-001f29e2923c,279.0,279.0,Cardiocondyla emeryi,Cardiocondyla,emeryi
9,ee97d9c0-5c57-11de-98cb-001f29e2923c,279.0,279.0,Balclutha rosea,Balclutha,rosea
10,ee97d5ba-5c57-11de-98cb-001f29e2923c,175.0,175.0,Tapinoma melanocephalum,Tapinoma,melanocephalum
11,ee97d510-5c57-11de-98cb-001f29e2923c,183.0,183.0,Hypoponera opaciceps,Hypoponera,opaciceps
12,ee97c93a-5c57-11de-98cb-001f29e2923c,130.0,130.0,Balclutha rosea,Balclutha,rosea
13,ee97c3e0-5c57-11de-98cb-001f29e2923c,118.0,118.0,Cardiocondyla emeryi,Cardiocondyla,emeryi
14,ee97c336-5c57-11de-98cb-001f29e2923c,118.0,118.0,Plagiolepis alluaudi,Plagiolepis,alluaudi
15,ee97c07a-5c57-11de-98cb-001f29e2923c,130.0,130.0,Balclutha incisa,Balclutha,incisa
16,ee97be5e-5c57-11de-98cb-001f29e2923c,183.0,183.0,Balclutha rosea,Balclutha,rosea
