,Species,Kingdom,Phylum,Class,Order,Family,System,Unnamed: 7
0,Rattus norvegicus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,
1,Rattus rattus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,
2,Rhizophora mangle,Plantae,Magnoliophyta,Magnoliopsida,Rhizophorales,Rhizophoraceae,Terrestrial,
3,Ricinus communis,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Terrestrial,
4,Rubus niveus,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Terrestrial,
5,Solenopsis geminata,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
6,Sus scrofa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Terrestrial,
7,Syngonium podophyllum,Plantae,Magnoliophyta,Liliopsida,Arales,Araceae,Terrestrial,
8,Syzygium jambos,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Terrestrial,
9,Tapinoma melanocephalum,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
10,Tubastraea coccinea,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Marine,
11,Urochloa maxima,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Terrestrial,
12,Urochloa mutica,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Terrestrial,
13,Verbena brasiliensis,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Verbenaceae,Terrestrial,
14,Wasmannia auropunctata,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
15,Watersipora subtorquata,Animalia,Ectoprocta,Gymnolaemata,Cheilostomata,Watersiporidae,Marine,
0,Abrus precatorius,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Terrestrial,
1,Achatina fulica,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Terrestrial,
2,Ageratum conyzoides,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Terrestrial,
3,Asparagus officinalis,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Terrestrial,
4,Bidens pilosa,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Terrestrial,
5,Bugula neritina,Animalia,Ectoprocta,Gymnolaemata,Cheilostomata,Bugulidae,Marine,
6,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Terrestrial,
7,Cedrela odorata,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Meliaceae,Terrestrial,
8,Cenchrus clandestinus,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Terrestrial,
9,Cinchona pubescens,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Terrestrial,
10,Columba livia,Animalia,Chordata,Aves,Columbiformes,Columbidae,Terrestrial,
11,Didemnum spp.,Animalia,Chordata,Ascidiacea,Enterogona,Didemnidae,Marine,
12,Eleutherodactylus coqui,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Freshwater_terrestrial,
13,Equus asinus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Terrestrial,
14,Equus caballus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Terrestrial,
15,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Terrestrial,
16,Gallus gallus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Terrestrial,
17,Icerya purchasi,Animalia,Arthropoda,Insecta,Hemiptera,Margarodidae,Terrestrial,
18,Lantana camara,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Verbenaceae,Terrestrial,
19,Leucaena leucocephala,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Terrestrial,
20,Monomorium destructor,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
21,Monomorium floricola,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
22,Monomorium pharaonis,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
23,Paratrechina longicornis,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
24,Paspalum vaginatum,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,Terrestrial,
25,Passiflora foetida,Plantae,Magnoliophyta,Magnoliopsida,Violales,Passifloraceae,Terrestrial,
26,Pheidole megacephala,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,
27,Philornis downsi,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Terrestrial,
28,Physalis peruviana,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Terrestrial,
29,Psidium guajava,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Terrestrial,
