,Scientific Name,Min Elevations,Max Elevations,Max Elevation,Min Elevation,Scientific Name,Counts,Scientific Name,Native
0,pantala flavescens,"[350.0, 750.0, 200.0, 290.0, 290.0, 290.0, 290.0]","[50.0, 50.0, 50.0, 450.0, 850.0, 400.0, 390.0, 390.0, 390.0, 390.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",850.0,200.0,pantala flavescens,18.0,acicnemis crassiusculus,1
1,xylosandrus compactus,[],[50.0],50.0,Empty,xylosandrus compactus,1.0,cryptophlebia pallifimbriana,1
2,coelophora inaequalis,[],"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",50.0,Empty,coelophora inaequalis,12.0,aedes polynesiensis,0
3,hypena longfieldiae,[840.0],[840.0],840.0,840.0,hypena longfieldiae,1.0,targalla delatrix,1
4,pheidole umbonata,[],[],Empty,Empty,pheidole umbonata,10.0,lispinus subopacus,1
5,cryptophlebia pallifimbriana,"[413.0, 236.0, 236.0, 470.0, 380.0, 1207.0]","[413.0, 236.0, 236.0, 470.0, 1207.0]",1207.0,236.0,cryptophlebia pallifimbriana,6.0,hydrotetrix aspera,1
6,anomis involuta,"[730.0, 730.0, 400.0]",[],Empty,400.0,anomis involuta,3.0,scymnodes lividigaster,0
7,coccotrypes cyperi,[],[],Empty,Empty,coccotrypes cyperi,1.0,oopsis nutator,1
8,musca domestica,[],"[50.0, 50.0]",50.0,Empty,musca domestica,2.0,cleoris licornaria,1
9,solenopsis papuana,[420.0],[520.0],520.0,420.0,solenopsis papuana,4.0,simodactylus cinnamomeus,1
10,aphis craccivora,[],"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",50.0,Empty,aphis craccivora,55.0,polydesma umbricola,0
11,harmonia axyridis,[],[],Empty,Empty,harmonia axyridis,1.0,hypena fulvifasciata,1
12,bactrocera dorsalis,[],"[50.0, 50.0, 50.0]",50.0,Empty,bactrocera dorsalis,3.0,stemorrhages thetydalis,1
13,spoladea recurvalis,"[240.0, 20.0]","[120.0, 50.0, 50.0]",120.0,20.0,spoladea recurvalis,4.0,tharra tahitiensis,1
14,liorhyssus hyalinus,[5.0],[5.0],5.0,5.0,liorhyssus hyalinus,1.0,zizina labradus,0
15,targalla delatrix,"[800.0, 310.0, 873.0, 873.0, 253.0]","[800.0, 310.0, 50.0, 50.0]",800.0,253.0,targalla delatrix,8.0,chrysodeixis chalcites,0
16,heteropsylla cubana,[50.0],[50.0],50.0,50.0,heteropsylla cubana,1.0,scholastes lonchifer,1
17,condica hollowayi,"[840.0, 840.0]","[840.0, 840.0]",840.0,840.0,condica hollowayi,2.0,cephalochrysa maxima,1
18,pison irridipennis,"[260.0, 260.0]","[260.0, 260.0]",260.0,260.0,pison irridipennis,2.0,apis mellifera,0
19,eublemma crassiuscula,"[200.0, 30.0, 30.0]","[400.0, 130.0, 130.0, 50.0]",400.0,30.0,eublemma crassiuscula,4.0,ananca bicolor,1
20,periplaneta australasiae,[],"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",50.0,Empty,periplaneta australasiae,15.0,eumenes porriformis,1
21,myrmica hellenica,[],[],Empty,Empty,myrmica hellenica,1.0,ananca kanack,1
22,melanitis leda,"[445.0, 340.0, 340.0, 340.0, 340.0, 340.0, 150.0, 920.0, 920.0, 920.0, 920.0]","[440.0, 440.0, 440.0, 440.0, 440.0, 250.0, 1020.0, 50.0, 1020.0, 1020.0, 1020.0]",1020.0,150.0,melanitis leda,12.0,ophiusa coronata,1
23,pisistrata trypheropa,[243.0],[243.0],243.0,243.0,pisistrata trypheropa,1.0,gnathothlibus erotus,0
24,luceria oculalis,[75.0],[75.0],75.0,75.0,luceria oculalis,1.0,anthicus oceanicus,1
25,pheidole fervens,[],[],Empty,Empty,pheidole fervens,8.0,eumenes pomiformis,0
26,anatrachyntis incertulella,[440.0],[],Empty,440.0,anatrachyntis incertulella,1.0,ornidia obesa,0
27,oopsis nutator,"[377.0, 279.0]","[377.0, 279.0]",377.0,279.0,oopsis nutator,2.0,utetheisa pulchelloides,1
28,cardiocondyla emeryi,"[279.0, 118.0]","[279.0, 118.0]",279.0,118.0,cardiocondyla emeryi,2.0,balclutha rosea,1
29,eunemobius carolinus,[],[],Empty,Empty,eunemobius carolinus,1.0,stenommatus musae,0
30,ischnura verticalis,[],[],Empty,Empty,ischnura verticalis,2.0,maliattha ritsemae,1
31,aedes albopicuts,"[260.0, 260.0, 260.0, 260.0]","[260.0, 260.0, 260.0, 260.0]",260.0,260.0,aedes albopicuts,4.0,piletocera signiferalis,1
32,sceliphron laetum,[],"[50.0, 50.0, 50.0]",50.0,Empty,sceliphron laetum,3.0,kallitaxila sinica,1
33,hyblaea puera,"[413.0, 420.0, 310.0]","[413.0, 420.0, 310.0]",420.0,310.0,hyblaea puera,3.0,periplaneta australasiae,0
34,simplicia caeneusalis,"[1189.0, 400.0, 3.0, 1.0]",[],Empty,1.0,simplicia caeneusalis,4.0,leptoglossus australis,0
35,simodactylus cinnamomeus,[],"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",50.0,Empty,simodactylus cinnamomeus,13.0,pantala flavescens,1
36,adeana leucoxantha,"[940.0, 410.0]","[940.0, 410.0]",940.0,410.0,adeana leucoxantha,2.0,gyponana germari,1
37,polydesma umbricola,[400.0],"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",50.0,400.0,polydesma umbricola,8.0,chasmina tibialis,1
38,zizina labradus,"[1290.0, 1290.0, 1290.0, 1290.0, 1290.0]","[50.0, 1390.0, 1390.0, 1390.0, 1390.0, 1390.0]",1390.0,1290.0,zizina labradus,6.0,evania appendigaster,0
39,allograpta amphotera,"[183.0, 377.0]","[183.0, 377.0]",377.0,183.0,allograpta amphotera,2.0,tropidomantis tenera,1
40,anthrax semiscitus,[],"[50.0, 50.0, 50.0]",50.0,Empty,anthrax semiscitus,3.0,arbanatus parallelus,1
41,stemorrhages thetydalis,"[822.0, 1207.0]","[822.0, 1207.0]",1207.0,822.0,stemorrhages thetydalis,2.0,tetramorium pacificum,1
42,comodica coarctata,[2.0],[],Empty,2.0,comodica coarctata,1.0,hypolimnas bolina,1
