,Scientific Name,Counts,"Northern Territory, Australia","California, United States","Tokyo, Japan","Northern Cape, South Africa","Massachusetts, United States","Florida, United States","Pichincha, Ecuador","Amazonas, Brazil","Kuala Lumpur, Malaysia","New Valley Governate, Egypt","San Jose Province, Costa Rica","London, England","Ile-de-France, France","Sodermanland, Sweden","Hawaii, United States","Delhi, India","Ontario, Canada","Berlin, Germany","Iowa, United States","Kinshasa, DR Congo","Jakarta, Indonesia","Mombasa County, Kenya"
0,pantala flavescens,18,1,0,35,0,0,4,0,0,0,0,5,0,0,0,6,0,0,0,0,0,2,1
1,xylosandrus compactus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,cryptophlebia pallifimbriana,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,targalla delatrix,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,periplaneta australasiae,15,0,0,0,0,0,0,0,0,0,0,5,15,0,6,0,0,0,0,0,0,0,0
5,oopsis nutator,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,simodactylus cinnamomeus,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,polydesma umbricola,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,zizina labradus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,stemorrhages thetydalis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,tharra tahitiensis,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,chrysodeixis chalcites,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,scholastes lonchifer,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,agrotis ipsilon,1,0,0,0,0,2,0,0,0,0,0,84,615,0,2,0,0,0,0,0,0,0,0
14,ananca bicolor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,atella sinha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ananca kanack,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ophiusa coronata,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,gnathothlibus erotus,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,tapinoma melanocephalum,36,0,0,0,0,0,7,0,0,0,0,143,2,0,0,0,0,0,0,0,0,0,0
20,acicnemis crassiusculus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ornidia obesa,15,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0
22,utetheisa pulchelloides,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,apis mellifera,32,0,571,17,0,221,12,2,0,0,0,398,921,1,471,33,0,5,30,7,0,0,2
24,balclutha rosea,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,piletocera signiferalis,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,kallitaxila sinica,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,telostylinus lineolatus,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,gyponana germari,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,chasmina tibialis,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,evania appendigaster,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,tropidomantis tenera,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,tetramorium pacificum,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
