Scientific Name,Total Count,Total,Average Count,Weighted Average Count,Location Presence,Averages Difference,Median,Max Elevation,Min Elevation,Length (cm),Percent,Native
pantala flavescens,18,72,3,8,8,5,0,850,200,4.5,0.25,1
xylosandrus compactus,1,1,0,0,1,0,0,50,50,0.165,1,0
periplaneta australasiae,15,41,1,8,4,7,0,50,50,2.9,0.365853659,0
zizina labradus,6,6,0,3,1,3,0,1390,1290,0.7,1,0
agrotis ipsilon,1,704,29,117,5,88,0,1207,1207,5,0.001420455,0
ananca bicolor,2,2,0,1,1,1,0,5,5,1,1,1
tapinoma melanocephalum,36,188,7,37,4,30,0,520,100,0.2,0.191489362,0
ornidia obesa,15,419,17,139,2,122,0,850,200,3,0.035799523,0
apis mellifera,32,2723,113,170,15,57,5,1095,290,1.5,0.011751744,0
evania appendigaster,10,11,0,3,2,3,0,50,50,1,0.909090909,0
tropidomantis tenera,11,11,0,5,1,5,0,50,50,2.5,1,1
hypolimnas bolina,7,16,0,4,3,4,0,50,5,6,0.4375,1
aedes aegypti,7,7,0,3,1,3,0,50,50,0.7,1,0
teleogryllus oceanicus,18,19,0,6,2,6,0,50,50,4.2,0.947368421,1
achaea janata,5,5,0,2,1,2,0,50,5,5,1,1
sitophilus granarius,8,15,0,3,3,3,0,50,50,0.5,0.533333333,0
pycnoscelus surinamensis,15,23,0,5,3,5,0,50,50,2.5,0.652173913,0
anticarsia irrorata,1,1,0,0,1,0,0,400,200,1.5,1,1
nezara viridula,8,132,5,18,6,13,0,50,50,1.31,0.060606061,0
homalodisca vitripennis,69,69,2,34,1,32,0,600,100,1.2,1,0
adoretus sinicus,16,16,0,8,1,8,0,50,50,1.27,1,0
hermetia illucens,6,232,9,38,5,29,0,50,30,1.6,0.025862069,0
spodoptera litura,4,4,0,2,1,2,0,413,1,2,1,0
mocis trifasciata,16,16,0,8,1,8,0,1095,150,4.5,1,1
polistes olivaceus,34,34,1,17,1,16,0,520,150,2.4,1,0
cosmopolites sordidus,2,25,1,8,2,7,0,50,50,1.1,0.08,0
sophonia orientalis,1,1,0,0,1,0,0,422,422,0.5,1,1
cimex lectularius,6,11,0,2,3,2,0,50,50,0.5,0.545454545,0
blattella germanica,7,31,1,7,3,6,0,50,5,1.6,0.225806452,0
ctenocephalides felis,6,442,18,147,2,129,0,50,50,0.5,0.013574661,0
anoplolepis gracilipes,40,47,1,11,3,10,0,632,100,0.2,0.85106383,0
