,Scientific Name,Total Count,Location Presence,Max Elevation,Min Elevation,Length (cm),Percent,World Total,Native,Elevation Difference,Avg Elevation,Prediction
0,pantala flavescens,18,8,850,200,4.5,0.407608696,4398,1,650,525,5
1,xylosandrus compactus,1,1,50,50,0.165,7.692307692,12,0,0,50,0
2,periplaneta australasiae,15,4,50,50,2.9,3.90625,369,0,0,50,0
3,zizina labradus,6,1,1390,1290,0.7,1.954397394,301,0,100,1340,2
4,agrotis ipsilon,1,5,1207,1207,5,0.003277184,30513,0,0,1207,6
5,ananca bicolor,2,1,5,5,1,20,8,1,0,5,0
6,tapinoma melanocephalum,36,4,520,100,0.2,1.581196581,2304,0,420,310,1
7,ornidia obesa,15,2,850,200,3,0.56278579,2828,0,650,525,5
8,apis mellifera,32,15,1095,290,1.5,0.055213348,57925,0,805,692.5,4
9,evania appendigaster,10,2,50,50,1,10.90909091,100,0,0,50,0
10,tropidomantis tenera,11,1,50,50,2.5,35.48387097,20,1,0,50,7
11,hypolimnas bolina,7,3,50,5,6,0.439422473,1586,1,45,27.5,7
12,aedes aegypti,7,1,50,50,0.7,100,0,0,0,50,3
13,teleogryllus oceanicus,18,2,50,50,4.2,24,57,1,0,50,7
14,achaea janata,5,1,50,5,5,55.55555556,4,1,45,27.5,7
15,sitophilus granarius,8,3,50,50,0.5,3.619909502,213,0,0,50,0
16,pycnoscelus surinamensis,15,3,50,50,2.5,4.132231405,348,0,0,50,0
17,anticarsia irrorata,1,1,400,200,1.5,3.125,31,1,200,300,0
18,nezara viridula,8,6,50,50,1.31,0.644122383,1234,0,0,50,0
19,homalodisca vitripennis,69,1,600,100,1.2,52.23880597,65,0,500,350,1
20,adoretus sinicus,16,1,50,50,1.27,39.02439024,25,0,0,50,0
21,hermetia illucens,6,5,50,30,1.6,0.487804878,1224,0,20,40,0
22,spodoptera litura,4,1,413,1,2,100,0,0,412,207,3
23,mocis trifasciata,16,1,1095,150,4.5,32.65306122,33,1,945,622.5,5
24,polistes olivaceus,34,1,520,150,2.4,34.34343434,65,0,370,335,1
25,cosmopolites sordidus,2,2,50,50,1.1,0.431965443,461,0,0,50,0
26,sophonia orientalis,1,1,422,422,0.5,9.090909091,10,1,0,422,0
27,cimex lectularius,6,3,50,50,0.5,0.943396226,630,0,0,50,0
28,blattella germanica,7,3,50,5,1.6,0.795454545,873,0,45,27.5,0
29,ctenocephalides felis,6,2,50,50,0.5,0.274599542,2179,0,0,50,0
30,anoplolepis gracilipes,40,3,632,100,0.2,2.384914032,1763,0,532,366,1
